"id","gl_id","label","datering_start","datering_slut","periode","materiale","keywords","beskrivelse","getty","getty_match","getty_label","fish","sortering"
"dime.find.weapon.ammunition.grenade","ny","Granat",,,"dime.period.historic","dime.material.unknown",,,"http://vocab.getty.edu/aat/300204028","exact match","grenades",,NULL
"dime.find.weapon.ammunition.projectile","ny","Projektil",,,"dime.period.historic","dime.material.unknown",,,"http://vocab.getty.edu/aat/300024860","exact match","projectile points",,NULL
"dime.find.weapon.ammunition.projectile.breechloader","ny","Projektil, baglader","1400","2020","dime.period.historic","dime.material.unknown",,,"http://vocab.getty.edu/aat/300024860","close match","projectile points",,NULL
"dime.find.weapon.ammunition.projectile.muzzleloader","ny","Projektil, forlader","1400","2020","dime.period.historic","dime.material.lead",,,"http://vocab.getty.edu/aat/300024860","close match","projectile points",,NULL
"dime.find.weapon.ammunition.shell","ny","Patronhylster",,,"dime.period.historic","dime.material.copperalloy",,,"http://vocab.getty.edu/aat/300204078","exact match","shells (ammunition)",,NULL
"dime.find.weapon.armor","ny","Rustning",,,"dime.period.historic","dime.material.iron",,,"http://vocab.getty.edu/aat/300036746","exact match","BODY ARMOR",,NULL
"dime.find.weapon.chain_mail","dime.find.subtype.military.armor","Ringbrynje",,,"dime.period.historic","dime.material.iron",,,"http://vocab.getty.edu/aat/300299206","exact match","shirts of mail",,NULL
"dime.find.weapon.firearm","dime.find.subtype.military.firearm","Skyde-/ kastevåben",,,"dime.period.historic","dime.material.unknown",,,"http://vocab.getty.edu/aat/300037148","exact match","FIREARMS",,NULL
"dime.find.weapon.firearm.canon","ny","Kanon","1400","1900","dime.period.historic","dime.material.unknown",,,"http://vocab.getty.edu/aat/300036936","exact match","cannons (artillery)",,NULL
"dime.find.weapon.firearm.crossbow","ny","Armbrøst","1200","1800","dime.period.historic","dime.material.unknown",,,"http://vocab.getty.edu/aat/300037000","exact match","crossbows",,NULL
"dime.find.weapon.firearm.crossbow.counterweight","ny","Armbrøst, kontravægt (typisk kors i bly)","1200","1800","dime.period.historic","dime.material.unknown",,,"http://vocab.getty.edu/aat/300037000","close match","crossbows",,NULL
"dime.find.weapon.firearm.gun","ny","Gevær","1400","2020","dime.period.historic","dime.material.unknown",,,"http://vocab.getty.edu/aat/300037148","close match","firearms",,NULL
"dime.find.weapon.firearm.gun.breechloader","ny","Bagladegevær","1400","2020","dime.period.historic","dime.material.unknown",,,"http://vocab.getty.edu/aat/300037148","close match","firearms",,NULL
"dime.find.weapon.firearm.gun.muzzleloader","ny","Forladegevær","1400","2020","dime.period.historic","dime.material.unknown",,,"http://vocab.getty.edu/aat/300037148","close match","firearms",,NULL
"dime.find.weapon.firearm.handgun","ny","Håndvåben",,,"dime.period.historic","dime.material.unknown",,,"http://vocab.getty.edu/aat/300037148","close match","firearms",,NULL
"dime.find.weapon.firearm.handgun.pistol","ny","Pistol",,,"dime.period.historic","dime.material.unknown",,,"http://vocab.getty.edu/aat/300037148","close match","firearms",,NULL
"dime.find.weapon.firearm.handgun.pistol.breechloader","ny","Pistol, baglader",,,"dime.period.historic","dime.material.unknown",,,"http://vocab.getty.edu/aat/300037148","close match","firearms",,NULL
"dime.find.weapon.firearm.handgun.pistol.muzzleloader","ny","Pistol, forlader",,,"dime.period.historic","dime.material.unknown",,,"http://vocab.getty.edu/aat/300037148","close match","firearms",,NULL
"dime.find.weapon.firearm.handgun.revolver","ny","Håndvåben · Revolver",,,"dime.period.historic","dime.material.unknown",,,"http://vocab.getty.edu/aat/300037148","close match","firearms",,NULL
"dime.find.weapon.firearm.spear","dime.find.subtype.military.melee.pointed","Spyd",,,"dime.period.undated","dime.material.unknown",,,"http://vocab.getty.edu/aat/300037038","exact match","spears (weapons)",,NULL
"dime.find.weapon.firearm.spearhead","ny","Spydspids",,,"dime.period.undated","dime.material.unknown",,,"http://vocab.getty.edu/aat/300037118","exact match","spearheads",,NULL
"dime.find.weapon.helmet","dime.find.subtype.military.helmet","Hjelm",,,"dime.period.undated","dime.material.unknown",,,"http://vocab.getty.edu/aat/300036794","exact match","HELMETS (PROTECTIVE WEAR)",,NULL
